     
     
     
     
     
     
     
     
     
     
     
     
     
     
millis, state, light, lat, lon, ax, ay, az, deg, micf_freq, micf_vol, micr_freq, micr_vol, micl_freq, micl_vol, micb_freq, micb_vol, direct, distance soundvol guidanceTime
     
     
     
     
     
     
     
     
     
     
     
     
     
     
millis, state, light, lat, lon, ax, ay, az, deg, micf_freq, micf_vol, micr_freq, micr_vol, micl_freq, micl_vol, micb_freq, micb_vol, direct, distance soundvol guidanceTime
     
     
     
     
     
     
     
     
     
     
     
     
     
     
millis, state, light, lat, lon, ax, ay, az, deg, micf_freq, micf_vol, micr_freq, micr_vol, micl_freq, micl_vol, micb_freq, micb_vol, direct, distance soundvol guidanceTime
27489, 0, 969, 0.00, 0.00, -0.14, -0.14, 9.61, 83.44, 32, 1, 34, 1, 47, 2, 34, 1, 0,0.00,0,27487
27913, 0, 969, 0.00, 0.00, -0.14, -0.17, 9.56, 77.57, 32, 1, 43, 2, 33, 1, 32, 1, 0,0.00,0,27912
28337, 0, 969, 0.00, 0.00, -0.13, -0.19, 9.56, 103.85, 32, 1, 33, 1, 32, 1, 47, 2, 0,0.00,0,28336
28762, 0, 970, 0.00, 0.00, -0.14, -0.14, 9.53, 96.24, 35, 1, 32, 1, 35, 1, 34, 1, 0,0.00,0,28760
29186, 0, 964, 0.00, 0.00, -0.17, -0.14, 9.59, 95.42, 32, 1, 33, 2, 32, 1, 35, 1, 0,0.00,0,29185
29609, 0, 584, 0.00, 0.00, -0.14, -0.14, 9.54, 71.32, 33, 1, 33, 1, 33, 2, 36, 1, 0,0.00,0,29608
30033, 0, 774, 0.00, 0.00, -0.14, -0.22, 9.56, 95.62, 33, 2, 34, 2, 33, 2, 34, 2, 0,0.00,0,30032
30458, 0, 963, 0.00, 0.00, -0.13, -0.15, 9.60, 78.50, 33, 2, 32, 1, 32, 1, 39, 2, 0,0.00,0,30456
30882, 0, 963, 0.00, 0.00, -0.16, -0.14, 9.62, 69.01, 32, 1, 32, 1, 32, 1, 34, 2, 0,0.00,0,30881
31306, 0, 955, 0.00, 0.00, -0.14, -0.16, 9.67, 102.45, 32, 1, 34, 2, 32, 1, 60, 2, 0,0.00,0,31305
31732, 0, 876, 0.00, 0.00, -0.16, -0.18, 9.60, 58.32, 32, 1, 33, 1, 47, 2, 34, 1, 0,0.00,0,31731
